dataId,region,genre,contentType,title,length,releaseYear,votes,rating,description
102043,United States,Crime,movie,Adios Vaya Con Dios,95.0,2014,357,8.7,"Inspired by real events a day of reckoning approaches for Rory, a rising Irish-Mexican street gang member, when his trusted life-long friend Eloy, is released from prison."
99447,India,Crime,movie,Shadow Assassins,125.0,2022,383,8.4,"Nirbhay Kalita, a young ambitious boy who got sucked into vengeance after his dear ones are assassinated."
97982,United States,Horror,movie,The Belly of the Beast,89.0,2008,398,9.0,"In 2008, 12 Disciples of Satan are released upon the earth, to do battle with 12 Disciples of direct descendants of the Apostles."
95398,India,Thriller,movie,Bulbule,95.0,2021,426,8.9,"Two friends, Harmeet and Irfan, from two different minority communities in India, meet after a gap of 5 years. What begins as a conversation amongst two friends catching up on old times, ...                 »
"
93551,India,Crime,movie,Baaram,92.0,2018,449,8.0,"Karuppasamy, a watchman, lives with his sister, Menmozhi, and her family in Tamil Nadu. Early one morning, Karuppasamy is involved in a hit-and-run accident and breaks his hip. 8 days later, he is dead. How did Karuppasamy die?"
93061,India,Crime,movie,College road,124.0,2022,456,9.3,"Ajay, a college student develops software to help nab cyber criminals. At the same time, a cyber crime spree is happening in Chennai."
91371,India,Crime,movie,Nirbandham,83.0,2020,480,8.4,The movie delves into the psychology of rapists while also depicting the heart wrenching darker aspects brought out by the lockdown during coronavirus pandemic.
89982,India,Horror,movie,Ieandavi,117.0,2021,502,8.7,"Three couples take on an adventurous journey into the forest but soon one of the girls goes missing. Their search for her takes a horrific turn when one of the boys dies. Soon, the group ...                 »
"
83505,United States,Thriller,movie,Interview with the Antichrist,100.0,2020,618,8.4,A live interview with the Antichrist is broadcast to 2 billion people during the final year of the Great Tribulation.
82785,United States,Thriller,movie,By Deception,94.0,2022,633,8.6,A promising novelist finds himself trapped in a terrifying reality as he reckons with the notion that a murderer is in his midst.
78855,India,Crime,movie,Thanks Maa,120.0,2009,729,8.1,A homeless petty thief attempts to find the biological mother of an abandoned baby.
78095,United States,Crime,movie,The Deposition,80.0,2012,750,8.1,"When a man is involved in a car wreck that kills his former lover, his life is derailed and his mind is splintered with guilt and the subsequent uncertainty about what exactly happened. Now...                 »
"
77746,India,Crime,movie,Thazhvaram,130.0,1990,760,8.1,Balan and Raju's friendly relationship turns into rivalry when Raju murders his wife and robs his hard-earned money. Balan decides to take revenge on Raju.
